ch1_aX,ch1_aY,ch1_aZ,ch3_aX,ch3_aY,ch3_aZ,ch5_aX,ch5_aY,ch5_aZ
60.546875,-2.9296875,1024.4140625,37.3046875,81.2578125,-1072.1328125,-111.083984375,-7.8125,1008.6669921875
60.546875,-2.9296875,1024.4140625,37.3046875,81.953125,-1070.13671875,-110.7177734375,-7.4462890625,1010.009765625
58.10546875,-1.953125,1019.04296875,37.359375,81.953125,-1070.13671875,-110.2294921875,-7.8125,1011.3525390625
58.10546875,-1.953125,1019.04296875,37.359375,81.99609375,-1069.8750000000002,-109.619140625,-8.6669921875,1011.71875
65.4296875,-1.46484375,1025.390625,37.24609375,81.99609375,-1069.8750000000002,-109.4970703125,-9.3994140625,1011.5966796875
65.4296875,-1.46484375,1025.390625,37.24609375,82.25,-1068.62109375,-110.2294921875,-9.3994140625,1010.986328125
54.6875,3.90625,1006.8359375,37.6015625,82.25,-1068.62109375,-110.7177734375,-9.1552734375,1010.8642578125
54.6875,3.90625,1006.8359375,37.6015625,82.09765625,-1068.35546875,-110.2294921875,-9.765625,1010.8642578125
52.734375,3.90625,1002.9296875,37.0390625,82.09765625,-1068.35546875,-110.2294921875,-11.474609375,1011.3525390625
52.734375,3.90625,1002.9296875,37.0390625,81.56640625,-1069.94921875,-110.7177734375,-13.18359375,1011.5966796875
53.22265625,-9.765625,1017.578125,36.68359375,81.56640625,-1069.94921875,-111.9384765625,-12.939453125,1010.986328125
53.22265625,-9.765625,1017.578125,36.68359375,81.89062500000001,-1069.7109375,-112.3046875,-10.7421875,1010.8642578125
57.12890625,-12.6953125,1023.92578125,36.41015625,81.89062500000001,-1069.7109375,-112.060546875,-8.4228515625,1010.3759765625
57.12890625,-12.6953125,1023.92578125,36.41015625,81.95703125,-1068.59375,-111.9384765625,-7.568359375,1009.27734375
49.8046875,-8.30078125,1028.3203125,35.68750000000001,81.95703125,-1068.59375,-112.3046875,-8.6669921875,1008.4228515625
49.8046875,-8.30078125,1028.3203125,35.68750000000001,82.390625,-1068.9765625,-113.4033203125,-10.3759765625,1008.6669921875
48.33984375,-13.18359375,1020.99609375,36.05078125000001,82.390625,-1068.9765625,-113.8916015625,-11.71875,1009.521484375
48.33984375,-13.18359375,1020.99609375,36.05078125000001,81.796875,-1069.02734375,-112.548828125,-12.5732421875,1010.25390625
60.546875,-7.32421875,1020.01953125,36.33984375,81.796875,-1069.02734375,-109.4970703125,-12.5732421875,1010.25390625
60.546875,-7.32421875,1020.01953125,36.33984375,82.3046875,-1070.03125,-107.0556640625,-11.474609375,1010.3759765625
53.22265625,-12.20703125,1019.04296875,36.515625,82.3046875,-1070.03125,-107.0556640625,-10.7421875,1011.3525390625
53.22265625,-12.20703125,1019.04296875,36.515625,82.01953125,-1070.87890625,-109.2529296875,-10.009765625,1012.20703125
53.22265625,-14.6484375,1030.2734375,36.109375,82.01953125,-1070.87890625,-111.4501953125,-9.3994140625,1012.20703125
53.22265625,-14.6484375,1030.2734375,36.109375,81.64453125,-1069.46484375,-113.28125,-10.009765625,1010.986328125
61.03515625,-10.25390625,1014.6484375,35.3515625,81.64453125,-1069.46484375,-113.8916015625,-10.6201171875,1009.521484375
61.03515625,-10.25390625,1014.6484375,35.3515625,81.01171875,-1069.3125,-113.6474609375,-10.1318359375,1008.6669921875
61.03515625,-12.6953125,1020.01953125,34.12109375,81.01171875,-1069.3125,-112.6708984375,-9.521484375,1008.30078125
